================ BUILD ID ================
  cpp : #78 sha=da28d34 bin=765bc7186cd2dd73 FUSE_AB dprint probe
  data: # sha= 
=========================================
host=yyzo-bh-03  tag=ab_prod  timeout=1200s  worry=600s  ts=2026-06-01T14:51:43-0700
cmd: export TT_METAL_HOME=/localdev/smarton/tt-metal TT_METAL_RUNTIME_ROOT=/localdev/smarton/tt-metal TT_METAL_CACHE=/localdev/smarton/.cache/tt-metal-cache TT_METAL_ARCH_NAME=blackhole MESH_DEVICE=P100 GSPLAT_TT_BLEND_MODE=2 GSPLAT_TT_MB_KERNEL=1 GSPLAT_TT_MB_DEVCULL=1 GSPLAT_TT_DEVICE_PROJECT=1 GSPLAT_TT_RESIDENT_PROJECT=1 GSPLAT_TT_RESIDENT_GATHER=1 GSPLAT_TT_DEVICE_TILE_ASSIGN=1 GSPLAT_TT_RESIDENT_TA_IN=1 GSPLAT_TT_DEVICE_SORT=1 GSPLAT_TT_RESIDENT_PAIRS=1 GSPLAT_TT_RESIDENT_BLEND=1 GSPLAT_TT_SORT_DEVICE_PUBLISH=1 GSPLAT_TT_TA_DEVICE_SCAN=1 GSPLAT_TT_SFPU_CULL=1 GSPLAT_TT_FUSED_TILE=1 GSPLAT_TT_MB_TIMING=1 GSPLAT_TT_FUSE_AB=1 TT_METAL_DPRINT_CORES=all; source .venv/bin/activate 2>/dev/null; .venv/bin/python3 scripts/a003_verify.py --views 1 --iter-dir loop-ttw --out opt/ttw/last.json 2>&1 | tee /tmp/ttw_ab_prod.log >/dev/null; echo '===ABROW_PROD==='; grep 'ABROW' /tmp/ttw_ab_prod.log | sort -t= -k2 -n | head -200; echo '===SUMMARY==='; grep '^SUMMARY' /tmp/ttw_ab_prod.log | tail -1
-----------------------------------------
BUILD-ID VERIFY OK: cpp#78 bin=765bc7186cd2dd73 matches the built+stamped artifact
===ABROW_PROD===
0:3-5:NC: ABROW t=7 p=0 g=1544632 a=19772.6 mxl=204.829 op=0.0180723 m=4294967295
0:3-5:NC: ABROW t=7 p=0 g=1544632 a=19772.6 mxl=204.829 op=0.0180723 m=4294967295
0:3-5:NC: ABROW t=7 p=1 g=1720448 a=10288.5 mxl=258.983 op=0.0173527 m=3972827264
0:3-5:NC: ABROW t=7 p=1 g=1720448 a=10288.5 mxl=258.983 op=0.0173527 m=3972827264
0:3-5:NC: ABROW t=7 p=10 g=1023416 a=2.16006 mxl=24.2624 op=0.0630471 m=3422552064
0:3-5:NC: ABROW t=7 p=10 g=1023416 a=2.16006 mxl=24.2624 op=0.0630471 m=3422552064
0:3-5:NC: ABROW t=7 p=100 g=864761 a=0.351217 mxl=24.7937 op=0.204629 m=3435134976
0:3-5:NC: ABROW t=7 p=100 g=864761 a=0.351217 mxl=24.7937 op=0.204629 m=3435134976
0:3-5:NC: ABROW t=7 p=101 g=669687 a=0.435 mxl=26.3807 op=0.112909 m=209715200
0:3-5:NC: ABROW t=7 p=101 g=669687 a=0.435 mxl=26.3807 op=0.112909 m=209715200
0:3-5:NC: ABROW t=7 p=102 g=487283 a=1.48521 mxl=26.3083 op=0.0613625 m=838784
0:3-5:NC: ABROW t=7 p=102 g=487283 a=1.48521 mxl=26.3083 op=0.0613625 m=838784
0:3-5:NC: ABROW t=7 p=103 g=731097 a=0.500282 mxl=23.8327 op=0.0054374 m=13421696
0:3-5:NC: ABROW t=7 p=103 g=731097 a=0.500282 mxl=23.8327 op=0.0054374 m=13421696
0:3-5:NC: ABROW t=7 p=104 g=1546830 a=0.627695 mxl=7.60138 op=0.205794 m=53608448
0:3-5:NC: ABROW t=7 p=104 g=1546830 a=0.627695 mxl=7.60138 op=0.205794 m=53608448
0:3-5:NC: ABROW t=7 p=105 g=215473 a=0.54313 mxl=26.4236 op=0.213214 m=213909504
0:3-5:NC: ABROW t=7 p=105 g=215473 a=0.54313 mxl=26.4236 op=0.213214 m=213909504
0:3-5:NC: ABROW t=7 p=106 g=401239 a=0.491013 mxl=25.1716 op=0.57956 m=3430940672
